relation,Ovid13,Ovid1,difference
A-ADVERB,0.2393,0.2372,0.0021
A-DO,5.2046,15.035,-9.830
A-DO_AP,0.2239,0.2965,-0.072
A-DO_CO,0.8648,1.4531,-0.588
A-DO_OBJ-CO,0.0231,0.0,0.0231
A-EXCLAM,0.0154,0.1186,-0.103
A-EXTENT,0.2625,0.9786,-0.716
A-EXTENT_AP,0.0077,0.0,0.0077
A-EXTENT_CO,0.0463,0.3262,-0.279
A-INTOBJ,0.0926,0.5931,-0.500
A-ORIENT,0.6332,2.4021,-1.768
A-ORIENT_AP,0.0308,0.0889,-0.058
A-ORIENT_CO,0.0463,0.2965,-0.250
A-PRED,0.1003,0.3855,-0.285
A-RESPECT,0.0231,0.1186,-0.095
A-SUBJ,0.3397,1.0972,-0.757
A-SUBJ_AP,0.0154,0.0,0.0154
A-SUBJ_CO,0.0154,0.1482,-0.132
AB-ABSOL,0.5945,2.0462,-1.451
AB-ABSOL_CO,0.0231,0.0593,-0.036
AB-ACCOMP,0.2162,0.4151,-0.198
AB-AGENT,0.0694,0.0889,-0.019
AB-CAUSE,0.3011,1.0379,-0.736
AB-CAUSE_CO,0.0308,0.2372,-0.206
AB-COMPAR,0.3320,0.5041,-0.172
AB-COMPAR_CO,0.0540,0.0,0.0540
AB-DEGDIF,0.0154,0.1186,-0.103
AB-LOCAT,0.9806,3.4400,-2.459
AB-LOCAT_CO,0.0617,0.1779,-0.116
AB-MANN,0.6100,2.9359,-2.325
AB-MANN_CO,0.0463,0.1779,-0.131
AB-MEANS,0.6177,1.5124,-0.894
AB-MEANS_CO,0.0694,0.2372,-0.167
AB-ORIENT,0.4787,2.0759,-1.597
AB-ORIENT_CO,0.0231,0.0,0.0231
AB-PRICE,0.0231,0.0,0.0231
AB-PRICE_CO,0.0154,0.0,0.0154
AB-RESPECT,0.1853,0.4744,-0.289
AB-RESPECT_CO,0.0463,0.1186,-0.072
AB-SEPAR,0.1544,0.3558,-0.201
ADJ-RC,0.8185,2.5207,-1.702
ADJ-RCCHAR,0.0849,0.2669,-0.181
ADJ-RCCHAR_CO,0.0077,0.1482,-0.140
ADJ-RCCHAR_OBJ,0.0231,0.0,0.0231
ADJ-RCCHAR_SBJ,0.0077,0.0296,-0.021
ADJ-RC_CO,0.2779,0.7117,-0.433
ADJ-RC_OBJ,0.0231,0.0296,-0.006
ADJ-RC_OBJ-AP,0.0077,0.0,0.0077
ADJ-RC_OBJ-CO,0.0154,0.0593,-0.043
ADJ-RC_PRED,0.0077,0.0593,-0.051
ADJ-RC_SBJ,0.0540,0.1779,-0.123
ADJ-RC_SUBJ-CO,0.0231,0.1779,-0.154
ADV,4.3320,11.536,-7.204
ADV-CAUSAL,0.1081,0.2075,-0.099
ADV-CIRCUMS,0.0231,0.0889,-0.065
ADV-CIRCUMS_CO,0.0154,0.0,0.0154
ADV-COMPAR,0.2162,0.8896,-0.673
ADV-COMPAR_CO,0.0308,0.3262,-0.295
ADV-CONCESS,0.0694,0.4151,-0.345
ADV-CONCESS_CO,0.0154,0.0,0.0154
ADV-CONSEC,0.0154,0.0593,-0.043
ADV-PROTAS,0.3320,0.7413,-0.409
ADV-PROTAS_CO,0.0231,0.2372,-0.214
ADV-PROVISO_CO,0.0540,0.0,0.0540
ADV-PURP,0.0849,0.2372,-0.152
ADV-PURP_CO,0.0077,0.0,0.0077
ADV-RESULT,0.0231,0.0,0.0231
ADV-TEMPOR,0.3320,1.3938,-1.061
ADV-TEMPOR_CO,0.1467,0.6524,-0.505
APOS,0.4169,0.8896,-0.472
APOS_CO,0.0308,0.0,0.0308
ATR,7.8069,24.406,-16.59
ATR_CO,0.6949,1.3048,-0.609
Aux,0.0154,0.0296,-0.014
AuxC,1.2432,3.5587,-2.315
AuxG,0.9729,2.9359,-1.962
AuxK,3.3359,9.8754,-6.539
AuxP,2.1544,6.4946,-4.340
AuxP_CO,0.0540,0.0593,-0.005
AuxV,0.4169,1.1565,-0.739
AuxX,5.2895,13.641,-8.352
AuxY,0.3474,0.5931,-0.245
COORD,5.2355,15.836,-10.60
D-AGENT,0.1081,0.2965,-0.188
D-INTER,0.5482,1.0676,-0.519
D-INTER_CO,0.0231,0.0,0.0231
D-IO,0.4942,1.0972,-0.603
D-IO_CO,0.0386,0.0,0.0386
D-POSS,0.1621,0.2075,-0.045
D-PURP,0.0077,0.0593,-0.051
D-REFER,0.4247,1.5717,-1.147
D-REFER_CO,0.0154,0.1186,-0.103
G-CHAR,0.0077,0.0,0.0077
G-CHARGE,0.0077,0.0,0.0077
G-DESC,0.2162,0.4151,-0.198
G-DESC_CO,0.0308,0.0593,-0.028
G-OBJEC,0.4015,1.0379,-0.636
G-OBJEC_CO,0.0386,0.0,0.0386
G-PART,0.1235,0.3855,-0.261
G-POSS,1.2509,4.1221,-2.871
G-POSS_AP,0.0308,0.0,0.0308
G-POSS_CO,0.0849,0.0593,0.0256
INF-COMP,0.5559,1.3938,-0.837
INF-COMP_CO,0.0772,0.1779,-0.100
INTRJ,0.1312,0.2075,-0.076
INTRJ_OBJ,0.0077,0.0,0.0077
N-PRED,1.0424,3.5883,-2.545
N-PRED_AP,0.0077,0.0296,-0.021
N-PRED_CO,0.0926,0.4448,-0.352
N-SUBJ,5.5057,19.098,-13.59
N-SUBJ_AP,0.2779,0.8007,-0.522
N-SUBJ_CO,0.4478,1.8386,-1.390
N-SUBJ_OBJ-AP,0.0077,0.0,0.0077
N-SUBJ_OBJ-CO,0.0154,0.0,0.0154
NOM-DIRSTAT_OBJ,0.8803,1.7497,-0.869
NOM-DIRSTAT_OBJ-AP,0.0077,0.0889,-0.081
NOM-DIRSTAT_OBJ-CO,1.6679,2.9952,-1.327
NOM-DS-HORT,0.0154,0.1186,-0.103
NOM-DS-HORT_OBJ-CO,0.0077,0.0593,-0.051
NOM-DS-OPT_OBJ,0.0077,0.0296,-0.021
NOM-DS-POTENT_OBJ,0.0231,0.1186,-0.095
NOM-DS-POTENT_OBJ-CO,0.0386,0.1186,-0.080
NOM-INDQUES_OBJ,0.0849,0.2669,-0.181
NOM-INDQUES_OBJ-CO,0.0540,0.3262,-0.272
NOM-INDQUES_PRED-CO,0.0154,0.0,0.0154
NOM-INDQUES_SBJ,0.0077,0.0296,-0.021
NOM-INDSTAT,0.3938,1.4234,-1.029
NOM-INDSTAT_OBJ,0.2857,0.5931,-0.307
NOM-INDSTAT_OBJ-CO,0.1003,0.7117,-0.611
NOM-INDSTAT_SBJ,0.0231,0.0593,-0.036
NOM-SUBST_AP,0.0077,0.0,0.0077
NOM-SUBST_OBJ,0.0694,0.1482,-0.078
NOM-SUBST_OBJ-AP,0.0077,0.0,0.0077
NOM-SUBST_OBJ-CO,0.0617,0.0296,0.0321
NOM-SUBST_PRED,0.0077,0.0,0.0077
NOM-SUBST_SBJ,0.0772,0.0,0.0772
NOM-SUBST_SUBJ-AP,0.0077,0.0,0.0077
NOM-SUBST_SUBJ-CO,0.0463,0.0,0.0463
PARENTH,0.3166,0.3855,-0.068
PRED,6.6718,18.534,-11.86
PRED-DELIB,0.0231,0.0296,-0.006
PRED-HORT,0.1621,0.0,0.1621
PRED-HORT_CO,0.0463,0.0,0.0463
PRED-HORT_OBJ-CO,0.0154,0.0,0.0154
PRED-OPT_CO,0.0154,0.0,0.0154
PRED-POTENT,0.1389,0.1779,-0.038
PRED-POTENT_CO,0.0617,0.1186,-0.056
PRED_CO,2.7799,12.099,-9.319
V-VOC,0.4401,0.8600,-0.419
V-VOC_AP,0.0540,0.0,0.0540
V-VOC_CO,0.0231,0.0593,-0.036
V-VOC_OBJ,0.0154,0.0,0.0154
